l1_ratio,alpha,valid_inner_folds,mean_inner_cindex,sd_inner_cindex,Repeat,Outer Fold
0.5,0.04491261332924235,3,0.7681252838870375,0.03396763419997591,2,5
0.9,0.010800887867326617,3,0.7637833951202534,0.06420189436476947,2,5
0.5,0.02954950051550689,3,0.7624336756111321,0.039604978079754334,2,5
1.0,0.07884839834181803,3,0.7589011011264287,0.04309475446406039,2,5
0.5,0.019441598161187915,3,0.7568110984010515,0.05163902361983917,2,5
0.5,0.10375396196023355,3,0.7543135624970666,0.022957686604681952,2,5
0.9,0.08760933149090892,3,0.7510215720069843,0.03620472815759417,2,5
1.0,0.009720799080593957,3,0.74713615870824,0.08685336569298871,2,5
0.5,0.01279127337068701,3,0.7459841088920675,0.06087338155449402,2,5
0.5,0.15769679668363606,3,0.7179040474653172,0.0102660438166027,2,5
1.0,0.0027685184451389355,3,0.696421245209487,0.03179878434308724,2,5
0.5,0.23968510902563392,3,0.6866575930474309,0.014172834773744017,2,5
0.9,0.13315839390312995,3,0.6846186206628427,0.01779706444277923,2,5
1.0,0.11984255451281696,3,0.6844383701937148,0.016912801238755784,2,5
1.0,0.001821500268134216,3,0.6798782110284773,0.05349543812274124,2,5
0.5,0.062392826732772314,3,0.7849125025030839,0.011189194245424843,3,1
0.9,0.03466268151820684,3,0.7836915249680302,0.012708710295552315,3,1
0.9,0.0526841938043904,3,0.7831351574599147,0.011773617648898636,3,1
1.0,0.031196413366386157,3,0.7821558623247006,0.01794823762868078,3,1
1.0,0.04741577442395136,3,0.781688029553973,0.016546415452552653,3,1
0.5,0.09483154884790272,3,0.7785066426547841,0.017839999838804212,3,1
0.5,0.0410503136877938,3,0.7784418694939786,0.003402187274294556,3,1
0.9,0.022805729826552112,3,0.774032798692534,0.01835287607564661,3,1
1.0,0.0205251568438969,3,0.7723244441043716,0.021474071360893656,3,1
0.5,0.027008365257814877,3,0.7628065330559567,0.011522753132125155,3,1
0.9,0.01500464736545271,3,0.7625818194949314,0.02317982761909311,3,1
1.0,0.07206776105375994,3,0.7611769124087813,0.01794918601448575,3,1
1.0,0.013504182628907438,3,0.7610335655427306,0.02802450023352164,3,1
0.9,0.08007529005973325,3,0.755627381067632,0.026255825409994167,3,1
0.9,0.009872056026001982,3,0.7469393473379542,0.023372083649769466,3,1
0.5,0.017769700846803568,3,0.7465051598092666,0.018128863119764013,3,1
0.5,0.14413552210751987,3,0.7409473473506362,0.04020126667653403,3,1
0.5,0.011691276579337788,3,0.7295682086938108,0.012285827147865563,3,1
1.0,0.008884850423401784,3,0.7277389785218583,0.04058287530130119,3,1
0.5,0.21907317749842703,3,0.6899663238846511,0.05555233731173482,3,1
0.9,0.12170732083245946,3,0.6865165803248555,0.05776413783234103,3,1
1.0,0.10953658874921351,3,0.6857910511794825,0.05606552980174675,3,1
1.0,0.005845638289668894,3,0.6196473466966018,0.07272518919353785,3,1
1.0,0.0025304372691535297,3,0.6078347236475334,0.05032141619307698,3,1
1.0,0.0016648587522878722,3,0.579890918766287,0.04422569360037039,3,1
1.0,0.035054352464333076,3,0.7865232900400742,0.056545367254763876,3,2
0.9,0.038949280515925645,3,0.7848798187802394,0.05584024567102075,3,2
1.0,0.05327949881627833,3,0.7833436596999995,0.054788916275596386,3,2
0.9,0.05919944312919815,3,0.7791578409616449,0.057595232302701485,3,2
1.0,0.023063423155141625,3,0.7748223882613687,0.056507732960134525,3,2
0.9,0.025626025727935143,3,0.7740573203469429,0.05785372241840692,3,2
0.5,0.04612684631028325,3,0.7665033211338764,0.06732383526971181,3,2
0.5,0.07010870492866615,3,0.7653603300870974,0.058831570481628646,3,2
0.9,0.01686021374233817,3,0.75960477157854,0.046591744590533724,3,2
1.0,0.08098010074503915,3,0.7578676561075414,0.06034925111848175,3,2
1.0,0.01517419236810435,3,0.757828612317935,0.04751896616760555,3,2
0.5,0.0303483847362087,3,0.7569532274111012,0.05185182958739443,3,2
1.0,0.009983605316321153,3,0.7538759130825708,0.033055681930909485,3,2
0.9,0.08997788971671017,3,0.7507193659461647,0.056289370273443565,3,2
0.5,0.10655899763255666,3,0.7498453607307974,0.06438754798546602,3,2
0.9,0.011092894795912394,3,0.7425591409707198,0.03513874128064757,3,2
0.5,0.019967210632642306,3,0.7369186465370482,0.02663529524884851,3,2
0.5,0.1619602014900783,3,0.7230379854481065,0.06056285495451368,3,2
0.5,0.01313709127895123,3,0.7164673024627914,0.012652291547838434,3,2
0.5,0.24616510524206026,3,0.6922153686833769,0.04224150509129613,3,2
0.9,0.1367583918011446,3,0.6874524789925381,0.03135220500973363,3,2
1.0,0.12308255262103013,3,0.6853042020049469,0.027719344159511387,3,2
1.0,0.0028433666037189,3,0.6086848544584792,0.011784145834136542,3,2
1.0,0.006568545639475615,3,0.6006159431904264,0.10191690565354214,3,2
1.0,0.001870745358468413,3,0.5757637058699827,0.07782016307460414,3,2
1.0,0.034583184110214826,3,0.8164283854505024,0.03188057089247459,3,3
0.9,0.03842576012246091,3,0.8154610116085982,0.03453248040379192,3,3
