Repeat,Fold,gene_id
4,1,ENSG00000162896.6
4,1,ENSG00000142319.18
4,1,ENSG00000124564.17
4,1,ENSG00000012223.13
4,1,ENSG00000081800.9
4,1,ENSG00000087494.16
4,1,ENSG00000174564.13
4,1,ENSG00000019505.8
4,1,ENSG00000179242.16
4,1,ENSG00000173376.14
4,1,ENSG00000077274.9
4,1,ENSG00000178776.5
4,1,ENSG00000127831.11
4,1,ENSG00000135205.15
4,1,ENSG00000125255.7
4,1,ENSG00000050628.20
4,1,ENSG00000152377.14
4,1,ENSG00000133063.16
4,1,ENSG00000118514.14
4,1,ENSG00000125144.14
4,1,ENSG00000149294.17
4,1,ENSG00000163735.7
4,1,ENSG00000147003.7
4,1,ENSG00000117472.10
4,1,ENSG00000131482.10
4,1,ENSG00000133477.17
4,1,ENSG00000167588.13
4,1,ENSG00000006747.15
4,1,ENSG00000198075.10
4,1,ENSG00000133020.4
4,2,ENSG00000164434.12
4,2,ENSG00000174358.16
4,2,ENSG00000129988.6
4,2,ENSG00000171747.9
4,2,ENSG00000087494.16
4,2,ENSG00000173376.14
4,2,ENSG00000153902.14
4,2,ENSG00000178776.5
4,2,ENSG00000185686.18
4,2,ENSG00000077274.9
4,2,ENSG00000125255.7
4,2,ENSG00000050628.20
4,2,ENSG00000117472.10
4,2,ENSG00000149294.17
4,2,ENSG00000115009.13
4,2,ENSG00000275385.2
4,2,ENSG00000163581.14
4,2,ENSG00000167588.13
4,2,ENSG00000119125.17
4,2,ENSG00000147003.7
4,2,ENSG00000060566.14
4,2,ENSG00000163735.7
4,2,ENSG00000119630.14
4,2,ENSG00000004939.15
4,2,ENSG00000184985.16
4,2,ENSG00000131482.10
4,2,ENSG00000112246.10
4,2,ENSG00000006747.15
4,2,ENSG00000135069.14
4,3,ENSG00000164434.12
4,3,ENSG00000012817.16
4,3,ENSG00000087494.16
4,3,ENSG00000012223.13
4,3,ENSG00000152377.14
4,3,ENSG00000178776.5
4,3,ENSG00000185686.18
4,3,ENSG00000125255.7
4,3,ENSG00000173376.14
4,3,ENSG00000087250.9
4,3,ENSG00000147003.7
4,3,ENSG00000275385.2
4,3,ENSG00000163581.14
4,3,ENSG00000119125.17
4,3,ENSG00000119630.14
4,3,ENSG00000163735.7
4,3,ENSG00000167588.13
4,3,ENSG00000112246.10
4,3,ENSG00000006747.15
4,3,ENSG00000108821.14
4,3,ENSG00000135333.14
4,3,ENSG00000163395.17
4,3,ENSG00000140284.11
4,3,ENSG00000131482.10
4,3,ENSG00000133020.4
4,4,ENSG00000164434.12
4,4,ENSG00000174358.16
4,4,ENSG00000173432.12
4,4,ENSG00000142319.18
4,4,ENSG00000124564.17
4,4,ENSG00000102854.16
4,4,ENSG00000137673.9
4,4,ENSG00000081800.9
4,4,ENSG00000079689.14
4,4,ENSG00000157005.4
4,4,ENSG00000012223.13
4,4,ENSG00000019505.8
4,4,ENSG00000153902.14
4,4,ENSG00000124107.5
4,4,ENSG00000241119.2
4,4,ENSG00000131094.4
4,4,ENSG00000077274.9
4,4,ENSG00000178776.5
4,4,ENSG00000185686.18
4,4,ENSG00000135205.15
4,4,ENSG00000099834.19
4,4,ENSG00000173376.14
4,4,ENSG00000165376.11
4,4,ENSG00000129151.9
4,4,ENSG00000237541.4
4,4,ENSG00000114455.13
4,4,ENSG00000050628.20
4,4,ENSG00000184368.16
4,4,ENSG00000257335.8
4,4,ENSG00000163295.5
4,4,ENSG00000172005.11
4,4,ENSG00000198734.12
4,4,ENSG00000166183.16
4,4,ENSG00000125255.7
4,4,ENSG00000130427.3
4,4,ENSG00000087250.9
4,4,ENSG00000125144.14
4,4,ENSG00000169344.15
4,4,ENSG00000148488.17
4,4,ENSG00000152207.7
4,4,ENSG00000145321.13
4,4,ENSG00000115009.13
4,4,ENSG00000163735.7
4,4,ENSG00000113249.13
4,4,ENSG00000147003.7
4,4,ENSG00000004939.15
4,4,ENSG00000101210.13
4,4,ENSG00000133477.17
4,4,ENSG00000163581.14
4,4,ENSG00000119630.14
4,4,ENSG00000170323.9
4,4,ENSG00000167588.13
4,4,ENSG00000198075.10
4,4,ENSG00000019186.10
4,4,ENSG00000175164.15
4,4,ENSG00000187783.12
4,4,ENSG00000184908.18
4,4,ENSG00000184985.16
4,4,ENSG00000120645.12
4,4,ENSG00000183715.13
4,4,ENSG00000142549.9
4,4,ENSG00000123610.5
4,4,ENSG00000169715.15
4,4,ENSG00000147614.4
4,4,ENSG00000133863.9
4,4,ENSG00000163710.9
4,4,ENSG00000131400.8
4,5,ENSG00000174358.16
4,5,ENSG00000173432.12
4,5,ENSG00000012223.13
4,5,ENSG00000174564.13
4,5,ENSG00000241119.2
4,5,ENSG00000131094.4
4,5,ENSG00000091513.16
4,5,ENSG00000087250.9
4,5,ENSG00000185686.18
