Repeat A,Fold A,Repeat B,Fold B,Genes A,Genes B,Shared Genes,Jaccard
3,4,9,1,29,13,11,0.3548387096774194
3,4,9,2,29,30,18,0.43902439024390244
3,4,9,3,29,42,18,0.33962264150943394
3,4,9,4,29,17,11,0.3142857142857143
3,4,9,5,29,30,15,0.3409090909090909
3,4,10,1,29,23,14,0.3684210526315789
3,4,10,2,29,19,11,0.2972972972972973
3,4,10,3,29,16,12,0.36363636363636365
3,4,10,4,29,27,17,0.4358974358974359
3,4,10,5,29,26,14,0.34146341463414637
3,5,4,1,27,31,16,0.38095238095238093
3,5,4,2,27,29,16,0.4
3,5,4,3,27,25,13,0.3333333333333333
3,5,4,4,27,67,19,0.25333333333333335
3,5,4,5,27,24,14,0.3783783783783784
3,5,5,1,27,26,17,0.4722222222222222
3,5,5,2,27,31,11,0.23404255319148937
3,5,5,3,27,30,17,0.425
3,5,5,4,27,27,14,0.35
3,5,5,5,27,29,11,0.24444444444444444
3,5,6,1,27,26,16,0.43243243243243246
3,5,6,2,27,27,14,0.35
3,5,6,3,27,35,20,0.47619047619047616
3,5,6,4,27,29,14,0.3333333333333333
3,5,6,5,27,24,13,0.34210526315789475
3,5,7,1,27,29,16,0.4
3,5,7,2,27,16,9,0.2647058823529412
3,5,7,3,27,66,18,0.24
3,5,7,4,27,33,19,0.4634146341463415
3,5,7,5,27,31,18,0.45
3,5,8,1,27,29,13,0.3023255813953488
3,5,8,2,27,20,13,0.38235294117647056
3,5,8,3,27,13,9,0.2903225806451613
3,5,8,4,27,46,18,0.32727272727272727
3,5,8,5,27,16,10,0.30303030303030304
3,5,9,1,27,13,10,0.3333333333333333
