Top K,Repeat,Fold,Train N,Test N,Test Events,Clinical predictors,RNA predictors,Total predictors,Genes after prevalence filter,Nonzero clinical,Nonzero RNA genes,Best l1_ratio,Best alpha,Inner CV C-index,Outer C-index
500,6,3,423,106,32,9,500,509,16202,4,59,1.0,0.02648327944124048,0.8094714180458702,0.8118354137771614
500,6,4,423,106,32,9,500,509,16180,1,18,1.0,0.05556756132077632,0.8107522869673635,0.8196517412935324
500,6,5,424,105,31,8,500,508,16178,1,34,1.0,0.039761400038586824,0.7815703358979365,0.8571428571428571
500,7,1,423,106,32,9,500,509,16196,1,40,1.0,0.03650343238052144,0.7882629651005514,0.7753986332574032
500,7,2,423,106,32,9,500,509,16194,1,17,1.0,0.05519801994498665,0.7991868850394371,0.7906976744186046
500,7,3,423,106,32,9,500,509,16183,1,29,1.0,0.043151925454746325,0.79429246627068,0.7718152123191787
500,7,4,423,106,32,9,500,509,16165,2,27,1.0,0.04024663777469516,0.7908005932713112,0.8276012189812799
500,7,5,424,105,31,8,500,508,16195,1,41,1.0,0.03576888763327182,0.7849463576889665,0.8015803336259877
500,8,1,423,106,32,9,500,509,16187,1,30,1.0,0.037835705837833265,0.7704936960698445,0.8136729222520107
500,8,2,423,106,32,9,500,509,16190,1,26,1.0,0.05413520680970025,0.7893398222027487,0.8372820742065266
500,8,3,423,106,32,9,500,509,16194,1,15,1.0,0.060552517074445755,0.7824838484123541,0.7535523978685613
500,8,4,423,106,32,9,500,509,16178,2,32,1.0,0.04035824851356089,0.7964227965863628,0.8085575650639611
500,8,5,424,105,31,8,500,508,16186,1,20,1.0,0.057369401276765104,0.7914205747005388,0.7863501483679525
500,9,1,423,106,32,9,500,509,16170,1,18,1.0,0.05546157772467998,0.7943934718620517,0.8244239631336405
500,9,2,423,106,32,9,500,509,16171,2,35,1.0,0.04169013046118243,0.8047197846517266,0.7830663615560641
500,9,3,423,106,32,8,500,508,16194,1,21,1.0,0.05656957425542057,0.7937605367519783,0.8055440628878775
500,9,4,423,106,32,9,500,509,16209,1,32,1.0,0.03980089060415531,0.8150600909215688,0.7891402714932126
500,9,5,424,105,31,9,500,509,16194,1,38,1.0,0.03592498400899115,0.8011803029693342,0.8335832083958021
500,10,1,423,106,32,9,500,509,16187,2,44,1.0,0.03552897870968769,0.8022671782145764,0.7853159851301115
500,10,2,423,106,32,9,500,509,16211,1,20,1.0,0.058103288927837816,0.7917019439648619,0.8012762078395624
500,10,3,423,106,32,9,500,509,16172,1,39,1.0,0.03983642362715674,0.802352044332607,0.7556406981694338
500,10,4,423,106,32,8,500,508,16186,1,20,1.0,0.059651113536935044,0.7683906630355878,0.8335576491700314
500,10,5,424,105,31,9,500,509,16192,1,19,1.0,0.05825887794987024,0.79860739531371,0.7876878332525449
