Repeat,Fold,Clinical_1yr,Clinical_3yr,Clinical_5yr,RNA_1yr,RNA_3yr,RNA_5yr,Multi_1yr,Multi_3yr,Multi_5yr,Multi_minus_Clinical_1yr,Multi_minus_RNA_1yr,Multi_minus_Clinical_3yr,Multi_minus_RNA_3yr,Multi_minus_Clinical_5yr,Multi_minus_RNA_5yr
8,4,0.8596426486759742,0.8253838049597098,0.7574301901620197,0.7504218258227032,0.7461097702456911,0.7580642826067371,0.8528085542947894,0.8517306361990622,0.8497865782839641,-0.006834094381184763,0.10238672847208619,0.026346831239352442,0.10562086595337106,0.09235638812194435,0.091722295677227
8,5,0.8225391859099478,0.8104471041805728,0.8103711730617712,0.571980538462788,0.6796042414014121,0.7109244215431308,0.7984778734795038,0.8092468031217546,0.7749800041290249,-0.02406131243044396,0.22649733501671587,-0.0012003010588181873,0.1296425617203425,-0.0353911689327463,0.06405558258589406
9,1,0.8785652584866489,0.8420247938838452,0.8924200385734198,0.6891150149886209,0.6657627247442582,0.747393724628561,0.8059760501598919,0.8090331716449263,0.8210156338152315,-0.07258920832675697,0.116861035171271,-0.03299162223891894,0.14327044690066804,-0.07140440475818832,0.07362190918667044
9,2,0.7649929905667832,0.8125034127808879,0.7227923942212116,0.6740816232517243,0.7464013787015529,0.7812674378130937,0.7362444169624479,0.8141203956481834,0.8124282116210582,-0.028748573604335248,0.06216279371072364,0.0016169828672955022,0.06771901694663052,0.0896358173998466,0.031160773807964448
9,3,0.8291265211447221,0.7863596077002075,0.7763923779298596,0.7999030975723079,0.8129808171825709,0.7802488789336236,0.8675912096871153,0.8651022728509812,0.8199969354723872,0.038464688542393266,0.06768811211480741,0.07874266515077366,0.05212145566841031,0.04360455754252757,0.039748056538763565
9,4,0.8858696447898872,0.8363151798214673,0.8531579003805841,0.7405277278703721,0.7322878880381902,0.6723605259984513,0.8287205475335696,0.7479471694427906,0.7696757852794316,-0.05714909725631756,0.08819281966319747,-0.0883680103786767,0.015659281404600378,-0.08348211510115255,0.09731525928098028
9,5,0.9141345800482353,0.839177748782322,0.8476064891952177,0.7931505503344732,0.7542119707922605,0.8050944165685865,0.8944464067390603,0.8410758885885147,0.7909395055842198,-0.01968817330917505,0.10129585640458705,0.001898139806192689,0.08686391779625413,-0.05666698361099798,-0.01415491098436672
10,1,0.7500248638749829,0.7615087145168826,0.7636288604743772,0.6878449085402801,0.6871430249991841,0.8073360816135845,0.8015761248701737,0.8038726317003874,0.8473140496189034,0.051551260995190806,0.11373121632989358,0.04236391718350474,0.11672960670120325,0.08368518914452627,0.03997796800531894
10,2,0.8300578673334676,0.8721473509651955,0.8461369382317621,0.7374472710058487,0.7490627103336104,0.6938535747921302,0.8400037278052044,0.8539424382412899,0.7945168445800261,0.009945860471736734,0.10255645679935566,-0.018204912723905564,0.10487972790767952,-0.05162009365173592,0.10066326978789597
10,3,0.8218326863320498,0.8198704927406046,0.898327323000113,0.7456245646780436,0.729734748875825,0.7655565052174661,0.76388098679821,0.7359882487546595,0.7022942747350622,-0.05795169953383972,0.018256422120166427,-0.08388224398594513,0.006253499878834501,-0.19603304826505075,-0.06326223048240387
