Model,Repeat,Horizon,Horizon_days,Bin,N,Mean_predicted_survival,Observed_KM_survival,Calibration_error,Absolute_calibration_error
RNA,3,3yr,1095.0,3,106,0.8463665332133307,0.8597558256875827,-0.013389292474252024,0.013389292474252024
RNA,3,3yr,1095.0,4,106,0.9027529657473077,0.9414726270885185,-0.038719661341210854,0.038719661341210854
RNA,4,3yr,1095.0,0,106,0.4421385071390211,0.46121749082243463,-0.019078983683413542,0.019078983683413542
RNA,4,3yr,1095.0,1,106,0.678910865594455,0.6521020757974821,0.026808789796972876,0.026808789796972876
RNA,4,3yr,1095.0,2,105,0.7768082339296624,0.8139862425677996,-0.03717800863813725,0.03717800863813725
RNA,4,3yr,1095.0,3,106,0.8449665805336775,0.8535513700423847,-0.008584789508707225,0.008584789508707225
RNA,4,3yr,1095.0,4,106,0.910469025273202,0.9027635868094841,0.007705438463717851,0.007705438463717851
RNA,5,3yr,1095.0,0,106,0.46852853781907045,0.49594206508392236,-0.02741352726485191,0.02741352726485191
RNA,5,3yr,1095.0,1,106,0.6910060976459095,0.6249705543532448,0.0660355432926647,0.0660355432926647
RNA,5,3yr,1095.0,2,105,0.7690495435199947,0.7580752616463395,0.010974281873655123,0.010974281873655123
RNA,5,3yr,1095.0,3,106,0.8227841978889759,0.8810961781158336,-0.058311980226857685,0.058311980226857685
RNA,5,3yr,1095.0,4,106,0.8914077778114515,0.9216553836234699,-0.030247605812018352,0.030247605812018352
RNA,6,3yr,1095.0,0,106,0.4331125121274952,0.47092889242631397,-0.037816380298818786,0.037816380298818786
RNA,6,3yr,1095.0,1,106,0.6732862853139779,0.6112869792736545,0.06199930604032344,0.06199930604032344
RNA,6,3yr,1095.0,2,105,0.7818156775648673,0.8491532824543734,-0.06733760488950613,0.06733760488950613
RNA,6,3yr,1095.0,3,106,0.842667040945609,0.8408608807336685,0.0018061602119404663,0.0018061602119404663
RNA,6,3yr,1095.0,4,106,0.908839211662228,0.9154426649807025,-0.00660345331847445,0.00660345331847445
RNA,7,3yr,1095.0,0,106,0.4587905017376722,0.4659511080106333,-0.0071606062729610565,0.0071606062729610565
RNA,7,3yr,1095.0,1,106,0.6737482032242627,0.6798264625416215,-0.006078259317358836,0.006078259317358836
RNA,7,3yr,1095.0,2,105,0.7742703083479339,0.7657941832476228,0.008476125100311038,0.008476125100311038
RNA,7,3yr,1095.0,3,106,0.8358959358548231,0.9040205718416768,-0.0681246359868537,0.0681246359868537
RNA,7,3yr,1095.0,4,106,0.9108034463099953,0.8668574728497915,0.04394597346020379,0.04394597346020379
RNA,8,3yr,1095.0,0,106,0.47551736451333554,0.4784903592625233,-0.002972994749187774,0.002972994749187774
RNA,8,3yr,1095.0,1,106,0.6684636033436455,0.6893822096387208,-0.02091860629507525,0.02091860629507525
RNA,8,3yr,1095.0,2,105,0.7653621919233109,0.7579007374471405,0.007461454476170415,0.007461454476170415
RNA,8,3yr,1095.0,3,106,0.8352497823524214,0.8463036782083199,-0.011053895855898443,0.011053895855898443
RNA,8,3yr,1095.0,4,106,0.9065012902984434,0.9235018445531834,-0.017000554254740008,0.017000554254740008
RNA,9,3yr,1095.0,0,106,0.43695977887146376,0.45830869580488887,-0.02134891693342511,0.02134891693342511
RNA,9,3yr,1095.0,1,106,0.6730408506468424,0.6599634787234495,0.013077371923392866,0.013077371923392866
RNA,9,3yr,1095.0,2,105,0.7842966911809977,0.8276237585495182,-0.043327067368520544,0.043327067368520544
RNA,9,3yr,1095.0,3,106,0.8522732884240294,0.7864257087572013,0.06584757966682808,0.06584757966682808
RNA,9,3yr,1095.0,4,106,0.9055730463469427,0.9698988970588232,-0.06432585071188046,0.06432585071188046
RNA,10,3yr,1095.0,0,106,0.4485591934988761,0.534102395178019,-0.08554320167914298,0.08554320167914298
RNA,10,3yr,1095.0,1,106,0.6808752287824006,0.5802178287992173,0.10065739998318324,0.10065739998318324
