l1_ratio,alpha,valid_inner_folds,mean_inner_cindex,sd_inner_cindex,Outer Fold
0.5,0.012709505554894604,3,0.753025826528206,0.038829454139377294,3
0.5,0.15668872483272642,3,0.7488409996006351,0.05640901592140632,3
0.5,0.23815292944702343,3,0.6919491007878836,0.04097935878705315,3
0.9,0.13230718302612413,3,0.685079087467177,0.04246058308617045,3
1.0,0.11907646472351172,3,0.6839294346520924,0.043610886203222114,3
1.0,0.0018098563845211947,3,0.6256220669222929,0.13158863929614317,3
1.0,0.0027508207773868903,3,0.6225100615003654,0.05844652539938084,3
1.0,0.041003560406695574,3,0.7964763301552792,0.05536699208230674,4
0.9,0.04555951156299509,3,0.7930451512927114,0.05435753106576069,4
1.0,0.026977604720818598,3,0.7912336307766217,0.05584753000862514,4
0.9,0.029975116356465117,3,0.7899412674823423,0.05653078137757038,4
1.0,0.01774946246750541,3,0.7814347365839683,0.05237117458996146,4
0.9,0.019721624963894905,3,0.7794856583758555,0.0516097100616369,4
0.5,0.053955209441637196,3,0.7777318257875226,0.05716329789478864,4
1.0,0.062321765902666706,3,0.7755486936428596,0.06568793222963414,4
0.5,0.08200712081339115,3,0.7738714647689532,0.05600262849470595,4
0.9,0.012975512307982568,3,0.7697092395205326,0.04754870811476361,4
1.0,0.011677961077184308,3,0.769491738347758,0.04423036471258652,4
0.9,0.06924640655851858,3,0.7681568986589987,0.06528615661835874,4
0.5,0.03549892493501082,3,0.7679884810619892,0.05686015959625854,4
0.5,0.023355922154368616,3,0.7628373887502199,0.05379145069822789,4
0.5,0.015366637177874875,3,0.7436951457202912,0.04639090298991291,4
0.5,0.12464353180533341,3,0.74319939484772,0.06338513578596441,4
0.5,0.18944708540932276,3,0.7025876732002952,0.06714845883138933,4
1.0,0.09472354270466138,3,0.7015729896681705,0.07231925133982958,4
0.9,0.10524838078295709,3,0.7009578726940324,0.07377660546251492,4
0.5,0.2879427247467607,3,0.681348112205446,0.07143363921405065,4
0.9,0.15996818041486704,3,0.6783094722625888,0.07385850539406516,4
1.0,0.14397136237338035,3,0.6764991257497854,0.07457822607351439,4
1.0,0.00332592520180181,3,0.6255416639569032,0.007930960292030517,4
1.0,0.01570882922607043,3,0.7898347918754941,0.053590780928165715,5
0.9,0.017454254695633813,3,0.7881696931905103,0.05360634533107604,5
1.0,0.023876023640919404,3,0.7872546116255021,0.04647695640052198,5
1.0,0.03628943294867966,3,0.7845362057174038,0.041663665817589,5
0.9,0.026528915156577116,3,0.7842817910831075,0.043620142766597696,5
0.9,0.04032159216519962,3,0.7829266048517981,0.03926806893885456,5
0.5,0.03141765845214086,3,0.7782663331935611,0.045408682728083384,5
1.0,0.055156711332775575,3,0.7764727247718519,0.039928739465759304,5
0.9,0.06128523481419509,3,0.7734594382723333,0.03996785314422348,5
0.5,0.04775204728183881,3,0.7733197602948345,0.036266581328329356,5
1.0,0.010335360668303567,3,0.7663719871623148,0.04603937553234916,5
0.5,0.07257886589735932,3,0.7651402303873128,0.03351202592620612,5
0.5,0.020670721336607134,3,0.764436072501848,0.04925891623788032,5
0.9,0.011483734075892853,3,0.7643961913142135,0.047717948248181034,5
1.0,0.08383329685392128,3,0.7531848376873329,0.045579595616768186,5
0.5,0.11031342266555115,3,0.7417603589567614,0.03939857033797979,5
0.9,0.09314810761546809,3,0.739899314424265,0.04301469870958362,5
0.5,0.16766659370784256,3,0.6990353263556348,0.0559708454391721,5
1.0,0.0029435477896549178,3,0.6767637922975798,0.05396066830906743,5
1.0,0.12741915700875828,3,0.6341534835474758,0.0851624447203085,5
0.9,0.1415768411208425,3,0.6340270323528904,0.0879354153846909,5
0.5,0.25483831401751655,3,0.6234027612682823,0.09524150072311308,5
1.0,0.0019366578891813167,3,0.5829605626625171,0.03739030493663359,5
1.0,0.006799977172495962,3,0.5685636843311521,0.018979439235468906,5
